id,sample_id,crop_id,suitability_score,suitability_level,limiting_factors,yield_potential,risk_assessment,management_recommendations,assessment_date,created_at
1,1,265,87.39,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",979.58,风险较低，适宜种植,监测病虫害，及时防治,2022-09-08,2023-08-17 08:04:20
2,1,300,58.72,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",354.99,风险很高，不建议种植,合理密植，保证通风透光,2022-09-08,2023-08-17 08:04:20
3,1,192,53.21,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",335.43,风险很高，不建议种植,科学轮作，避免连作障碍,2022-09-08,2023-08-17 08:04:20
4,1,195,47.23,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",312.25,风险很高，不建议种植,监测病虫害，及时防治,2022-09-08,2023-08-17 08:04:20
5,1,263,59.24,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",253.54,风险很高，不建议种植,加强田间管理，及时灌溉施肥,2022-09-08,2023-08-17 08:04:20
6,1,140,93.46,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",960.48,风险较低，适宜种植,监测病虫害，及时防治,2022-09-08,2023-08-17 08:04:20
7,1,334,63.59,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",560.69,风险较高，需要重点关注,改良土壤，提高地力,2022-09-08,2023-08-17 08:04:20
9,2,170,90.66,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",1034.87,风险较低，适宜种植,合理密植，保证通风透光,2024-06-06,2023-01-20 10:44:24
10,2,135,85.92,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",911.25,风险较低，适宜种植,监测病虫害，及时防治,2024-06-06,2023-01-20 10:44:24
11,2,168,77.34,中度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",704.14,风险中等，需要适当管理,科学轮作，避免连作障碍,2024-06-06,2023-01-20 10:44:24
12,2,383,90.02,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",946.57,风险较低，适宜种植,监测病虫害，及时防治,2024-06-06,2023-01-20 10:44:24
13,2,393,68.39,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",519.87,风险较高，需要重点关注,监测病虫害，及时防治,2024-06-06,2023-01-20 10:44:24
14,2,119,61.44,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",596.65,风险较高，需要重点关注,监测病虫害，及时防治,2024-06-06,2023-01-20 10:44:24
17,3,303,45.28,不适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",311.48,风险很高，不建议种植,监测病虫害，及时防治,2025-05-28,2022-08-07 01:17:26
18,3,456,75.57,中度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",696.16,风险中等，需要适当管理,监测病虫害，及时防治,2025-05-28,2022-08-07 01:17:26
19,3,355,49.58,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",230.17,风险很高，不建议种植,科学轮作，避免连作障碍,2025-05-28,2022-08-07 01:17:26
20,3,476,63.96,勉强适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",442.9,风险较高，需要重点关注,改良土壤，提高地力,2025-05-28,2022-08-07 01:17:26
21,3,393,86.39,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": true}",984.41,风险较低，适宜种植,监测病虫害，及时防治,2025-05-28,2022-08-07 01:17:26
22,3,367,56.86,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",264.7,风险很高，不建议种植,监测病虫害，及时防治,2025-05-28,2022-08-07 01:17:26
23,3,217,61.04,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",529.46,风险较高，需要重点关注,改良土壤，提高地力,2025-05-28,2022-08-07 01:17:26
24,3,282,68.36,勉强适宜,"{""ph_limitation"": false, ""nutrient_limitation"": true, ""climate_limitation"": false}",488.19,风险较高，需要重点关注,加强田间管理，及时灌溉施肥,2025-05-28,2022-08-07 01:17:26
25,4,450,87.93,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": false}",972.24,风险较低，适宜种植,监测病虫害，及时防治,2022-12-07,2022-09-09 08:54:23
26,4,7,83.03,高度适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": true}",1101.54,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2022-12-07,2022-09-09 08:54:23
27,4,59,48.37,不适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",312.02,风险很高，不建议种植,合理密植，保证通风透光,2022-12-07,2022-09-09 08:54:23
28,4,3,64.27,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",512.62,风险较高，需要重点关注,加强田间管理，及时灌溉施肥,2022-12-07,2022-09-09 08:54:23
29,4,353,60.23,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",501.59,风险较高，需要重点关注,加强田间管理，及时灌溉施肥,2022-12-07,2022-09-09 08:54:23
30,4,169,65.48,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": true}",503.27,风险较高，需要重点关注,改良土壤，提高地力,2022-12-07,2022-09-09 08:54:23
33,5,256,65.49,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": true, ""climate_limitation"": false}",558.63,风险较高，需要重点关注,合理密植，保证通风透光,2025-01-07,2023-08-20 01:43:19
34,5,446,67.18,勉强适宜,"{""ph_limitation"": true, ""nutrient_limitation"": false, ""climate_limitation"": false}",568.24,风险较高，需要重点关注,科学轮作，避免连作障碍,2025-01-07,2023-08-20 01:43:19
35,5,427,93.24,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",971.73,风险较低，适宜种植,加强田间管理，及时灌溉施肥,2025-01-07,2023-08-20 01:43:19
36,5,83,86.22,高度适宜,"{""ph_limitation"": false, ""nutrient_limitation"": false, ""climate_limitation"": true}",1130.06,风险较低，适宜种植,改良土壤，提高地力,2025-01-07,2023-08-20 01:43:19
