id,sample_id,crop_id,plan_name,target_yield,base_fertilizer,topdressing_plan,total_cost,expected_benefit,application_instructions,created_date,creator,status,created_at
1,6532,164,发现作物164专用施肥方案1,784.71,"{""复合肥"": ""47kg/亩"", ""有机肥"": ""1515kg/亩"", ""石灰"": """"}","[{""时期"": ""播种期"", ""肥料"": ""复合肥"", ""用量"": ""21kg/亩""}, {""时期"": ""生长期"", ""肥料"": ""尿素"", ""用量"": ""21kg/亩""}, {""时期"": ""开花期"", ""肥料"": ""磷钾肥"", ""用量"": ""14kg/亩""}]",678.31,2157.6,施肥后及时浇水，促进养分吸收,2023-08-28,农技专家,active,2022-06-24 00:09:52
2,2352,362,阅读作物362专用施肥方案2,836.41,"{""复合肥"": ""32kg/亩"", ""有机肥"": ""2945kg/亩"", ""石灰"": """"}","[{""时期"": ""播种期"", ""肥料"": ""复合肥"", ""用量"": ""12kg/亩""}, {""时期"": ""生长期"", ""肥料"": ""尿素"", ""用量"": ""29kg/亩""}, {""时期"": ""开花期"", ""肥料"": ""磷钾肥"", ""用量"": ""15kg/亩""}]",762.39,2005.44,叶面肥在早晨或傍晚喷施效果最佳,2025-05-24,系统自动生成,active,2024-07-28 18:15:43
3,4315,311,那么作物311专用施肥方案3,744.63,"{""复合肥"": ""35kg/亩"", ""有机肥"": ""2464kg/亩"", ""石灰"": ""65kg/亩""}","[{""时期"": ""播种期"", ""肥料"": ""复合肥"", ""用量"": ""18kg/亩""}, {""时期"": ""生长期"", ""肥料"": ""尿素"", ""用量"": ""18kg/亩""}, {""时期"": ""开花期"", ""肥料"": ""磷钾肥"", ""用量"": ""17kg/亩""}]",666.14,2492.33,基肥在播种前7-10天施入，深翻入土,2024-11-04,农技专家,draft,2023-08-09 02:16:05
4,8738,136,活动作物136专用施肥方案4,510.05,"{""复合肥"": ""36kg/亩"", ""有机肥"": ""1475kg/亩"", ""石灰"": """"}","[{""时期"": ""播种期"", ""肥料"": ""复合肥"", ""用量"": ""24kg/亩""}, {""时期"": ""生长期"", ""肥料"": ""尿素"", ""用量"": ""27kg/亩""}, {""时期"": ""开花期"", ""肥料"": ""磷钾肥"", ""用量"": ""20kg/亩""}]",461.38,1281.82,基肥在播种前7-10天施入，深翻入土,2023-05-17,土壤专家,active,2024-08-27 04:45:59
5,1497,464,最大作物464专用施肥方案5,450.14,"{""复合肥"": ""50kg/亩"", ""有机肥"": ""2864kg/亩"", ""石灰"": ""107kg/亩""}","[{""时期"": ""播种期"", ""肥料"": ""复合肥"", ""用量"": ""11kg/亩""}, {""时期"": ""生长期"", ""肥料"": ""尿素"", ""用量"": ""19kg/亩""}, {""时期"": ""开花期"", ""肥料"": ""磷钾肥"", ""用量"": ""14kg/亩""}]",716.14,2365.01,追肥分3次施用，根据作物生长情况调整,2025-04-24,系统自动生成,archived,2023-02-14 09:23:37
6,7334,100,可能作物100专用施肥方案6,788.76,"{""复合肥"": ""31kg/亩"", ""有机肥"": ""2268kg/亩"", ""石灰"": ""88kg/亩""}","[{""时期"": ""播种期"", ""肥料"": ""复合肥"", ""用量"": ""13kg/亩""}, {""时期"": ""生长期"", ""肥料"": ""尿素"", ""用量"": ""27kg/亩""}, {""时期"": ""开花期"", ""肥料"": ""磷钾肥"", ""用量"": ""10kg/亩""}]",641.57,1804.99,施肥后及时浇水，促进养分吸收,2024-05-15,农技专家,draft,2023-12-16 18:38:49
7,3815,265,出现作物265专用施肥方案7,699.16,"{""复合肥"": ""39kg/亩"", ""有机肥"": ""1344kg/亩"", ""石灰"": """"}","[{""时期"": ""播种期"", ""肥料"": ""复合肥"", ""用量"": ""10kg/亩""}, {""时期"": ""生长期"", ""肥料"": ""尿素"", ""用量"": ""20kg/亩""}, {""时期"": ""开花期"", ""肥料"": ""磷钾肥"", ""用量"": ""10kg/亩""}]",597.43,1973.77,施肥后及时浇水，促进养分吸收,2024-10-01,土壤专家,draft,2022-12-17 23:23:01
8,4889,376,更多作物376专用施肥方案8,660.52,"{""复合肥"": ""55kg/亩"", ""有机肥"": ""1458kg/亩"", ""石灰"": ""130kg/亩""}","[{""时期"": ""播种期"", ""肥料"": ""复合肥"", ""用量"": ""16kg/亩""}, {""时期"": ""生长期"", ""肥料"": ""尿素"", ""用量"": ""15kg/亩""}, {""时期"": ""开花期"", ""肥料"": ""磷钾肥"", ""用量"": ""12kg/亩""}]",601.87,2366.13,基肥在播种前7-10天施入，深翻入土,2023-01-06,农技专家,draft,2022-07-28 18:05:13
9,218,362,阅读作物362专用施肥方案9,816.56,"{""复合肥"": ""39kg/亩"", ""有机肥"": ""2554kg/亩"", ""石灰"": """"}","[{""时期"": ""播种期"", ""肥料"": ""复合肥"", ""用量"": ""23kg/亩""}, {""时期"": ""生长期"", ""肥料"": ""尿素"", ""用量"": ""19kg/亩""}, {""时期"": ""开花期"", ""肥料"": ""磷钾肥"", ""用量"": ""14kg/亩""}]",528.95,1938.35,有机肥需充分腐熟后使用,2024-11-17,土壤专家,active,2024-11-18 06:52:12
10,9609,281,更多作物281专用施肥方案10,482.52,"{""复合肥"": ""41kg/亩"", ""有机肥"": ""2125kg/亩"", ""石灰"": """"}","[{""时期"": ""播种期"", ""肥料"": ""复合肥"", ""用量"": ""25kg/亩""}, {""时期"": ""生长期"", ""肥料"": ""尿素"", ""用量"": ""26kg/亩""}, {""时期"": ""开花期"", ""肥料"": ""磷钾肥"", ""用量"": ""15kg/亩""}]",247.19,676.14,有机肥需充分腐熟后使用,2024-07-04,土壤专家,active,2024-03-25 19:33:26
