id,user_id,operation_type,target_table,target_id,operation_description,ip_address,user_agent,operation_time,execution_time,result_status,error_message
1,878,修改,crop_suitability,4414,用户修改crop_suitability数据,19.180.68.211,"Mozilla/5.0 (iPad; CPU iPad OS 1_1_5 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/60.0.893.0 Mobile/15Q625 Safari/534.1",2024-08-05 02:44:14,1.596,成功,
2,218,导出,crop_suitability,989,用户导出crop_suitability数据,223.220.37.120,Opera/9.93.(X11; Linux i686; tg-TJ) Presto/2.9.189 Version/10.00,2025-05-14 12:59:59,0.254,警告,
3,864,删除,soil_samples,6608,用户删除soil_samples数据,140.97.158.92,Mozilla/5.0 (Android 2.2.1; Mobile; rv:20.0) Gecko/20.0 Firefox/20.0,2024-10-08 23:00:43,1.939,失败,"这些她的的是科技.国内电子基本这是价格当然能够.
法律注册正在你们专业.正在准备事情.政府朋友安全回复一种全部不断.
业务虽然一次生活.系列要求制作."
4,182,查询,soil_samples,1364,用户查询soil_samples数据,175.221.8.89,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/21.0.822.0 Safari/532.0",2025-04-24 16:48:56,0.795,成功,
5,548,修改,soil_test_data,6722,用户修改soil_test_data数据,90.116.2.24,Opera/9.56.(X11; Linux i686; sc-IT) Presto/2.9.166 Version/10.00,2025-04-29 05:57:37,1.652,警告,
6,1024,生成报告,soil_test_data,9226,用户生成报告soil_test_data数据,189.88.187.79,Opera/9.18.(X11; Linux i686; km-KH) Presto/2.9.188 Version/12.00,2025-02-28 10:39:49,0.547,警告,
7,1117,查询,soil_test_data,7836,用户查询soil_test_data数据,136.37.36.235,Opera/8.17.(Windows NT 5.2; as-IN) Presto/2.9.176 Version/10.00,2024-09-19 03:45:41,2.838,警告,
8,611,查询,soil_test_data,6606,用户查询soil_test_data数据,58.174.199.110,Opera/9.33.(Windows NT 5.01; kl-GL) Presto/2.9.160 Version/10.00,2025-02-02 12:45:49,3.642,失败,"提供电话空间孩子加入学习联系解决.法律历史功能过程或者网上社会.
学校技术网络发现点击看到北京只有.工具还是拥有发生技术我们孩子.帮助注册提高能够评论设备电话."
9,835,导出,fertilizer_plans,1180,用户导出fertilizer_plans数据,46.251.237.143,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1_2 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/18.5a6487.0 Mobile/37B113 Safari/534.2",2025-04-27 21:38:20,3.207,成功,
10,594,修改,fertilizer_plans,274,用户修改fertilizer_plans数据,197.166.124.41,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_4 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/31.0.841.0 Mobile/20G734 Safari/532.0",2024-09-03 15:59:45,1.52,成功,
11,819,新增,crop_suitability,8741,用户新增crop_suitability数据,17.231.28.99,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; es-CL) AppleWebKit/534.28.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6534.28.2",2024-12-23 21:53:06,3.429,失败,"上海首页学习那么.更新要求结果人民音乐.一样这些可能一次学校认为.
专业企业什么下载一些.她的系列还是这个研究而且一般.大小知道大学."
12,787,查询,soil_test_data,717,用户查询soil_test_data数据,101.35.169.175,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/535.11.4 (KHTML, like Gecko) Version/5.0.3 Safari/535.11.4",2024-06-17 10:27:25,2.456,成功,
13,1520,分析,soil_test_data,1100,用户分析soil_test_data数据,179.211.200.84,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.0),2024-07-11 10:54:47,2.716,成功,
14,1826,生成报告,soil_test_data,817,用户生成报告soil_test_data数据,197.241.228.2,Opera/8.43.(X11; Linux i686; fa-IR) Presto/2.9.165 Version/11.00,2024-08-26 11:01:41,4.61,失败,"专业比较她的生活需要积分.制作地址使用游戏说明什么.
发布经济生活时候.游戏不断以后北京.提供业务不是不过经验一下最后.那个一定因此介绍客户.
她的时间或者专业管理.不会数据都是."
15,1721,查询,soil_samples,112,用户查询soil_samples数据,94.94.129.192,Mozilla/5.0 (Windows 98; nl-NL; rv:1.9.2.20) Gecko/5064-10-09 19:29:10 Firefox/3.6.1,2025-04-28 05:35:54,0.494,警告,
